interval,time,set,stroke,kg
103,325634,1,13,-0.02
103,325737,1,13,-0.02
103,325941,1,14,-0.01
103,326044,1,14,-0.01
103,326147,1,14,-0.02
103,326251,1,14,-0.02
103,326354,1,14,-0.02
103,326458,1,14,-0.02
103,326561,1,14,0.05
103,326665,1,14,1.8
103,326768,1,14,3.22
103,326871,1,14,4.04
103,326975,1,14,4.11
103,327078,1,14,3.52
103,327182,1,14,0.43
103,327285,1,14,-0.01
103,327389,1,14,-0.02
103,327592,1,15,-0.01
103,327696,1,15,-0.01
103,327799,1,15,-0.02
103,327902,1,15,-0.02
103,328006,1,15,-0.02
103,328109,1,15,-0.01
103,328213,1,15,0.11
103,328316,1,15,2.37
103,328420,1,15,3.64
103,328523,1,15,4.32
103,328626,1,15,4.09
103,328730,1,15,2.99
103,328833,1,15,0.24
103,328937,1,15,-0.01
103,329040,1,15,-0.02
103,329244,1,16,-0.01
103,329347,1,16,-0.01
103,329450,1,16,-0.02
103,329554,1,16,-0.02
103,329657,1,16,-0.02
103,329761,1,16,-0.02
103,329864,1,16,0.3
103,329968,1,16,1.42
103,330071,1,16,3.21
103,330174,1,16,4.29
103,330278,1,16,4.28
103,330381,1,16,1.77
103,330485,1,16,0.32
103,330588,1,16,-0.01
103,330692,1,16,-0.02
103,330795,1,16,-0.02
103,330998,1,17,-0.01
103,331102,1,17,-0.01
103,331205,1,17,-0.02
103,331309,1,17,-0.02
103,331412,1,17,-0.01
103,331516,1,17,0.18
103,331619,1,17,1.17
103,331722,1,17,3.13
103,331826,1,17,4.59
103,331929,1,17,3.5
103,332033,1,17,1.75
103,332136,1,17,0.32
103,332240,1,17,-0.01
103,332343,1,17,-0.02
104,332547,1,18,-0.02
103,332651,1,18,-0.02
103,332754,1,18,-0.02
103,332858,1,18,-0.02
103,332961,1,18,-0.02
103,333065,1,18,-0.02
103,333168,1,18,0.01
103,333272,1,18,0.32
103,333375,1,18,1.55
103,333478,1,18,4.44
103,333582,1,18,3.87
103,333685,1,18,2.6
103,333789,1,18,1.06
103,333892,1,18,0.1
103,333996,1,18,-0.02
103,334199,1,19,-0.01
103,334302,1,19,-0.01
103,334406,1,19,-0.02
103,334509,1,19,-0.02
103,334613,1,19,-0.02
103,334716,1,19,0.01
103,334820,1,19,0.23
103,334923,1,19,1.07
103,335026,1,19,2.66
103,335130,1,19,4.73
103,335233,1,19,4.28
103,335337,1,19,3.18
103,335440,1,19,1.62
103,335544,1,19,0.28
103,335647,1,19,-0.02
103,335750,1,19,-0.02
104,335954,1,20,-0.02
103,336058,1,20,-0.02
103,336162,1,20,-0.02
103,336265,1,20,-0.02
103,336369,1,20,-0.02
103,336472,1,20,-0.02
103,336576,1,20,-0.02
103,336679,1,20,-0.01
103,336782,1,20,0.09
103,336886,1,20,0.81
103,336989,1,20,2.71
103,337093,1,20,4.36
103,337196,1,20,4.34
103,337300,1,20,2.71
103,337403,1,20,0.89
102,337506,1,20,0.04
103,337609,1,20,-0.02
103,337712,1,20,-0.02
103,337816,1,20,-0.02
103,337919,1,20,-0.02
103,338123,1,21,-0.02
103,338226,1,21,-0.02
103,338329,1,21,-0.02
103,338433,1,21,-0.02
103,338536,1,21,-0.02
103,338640,1,21,-0.02
103,338743,1,21,0.1
103,338847,1,21,0.67
103,338950,1,21,2.23
103,339053,1,21,3.87
103,339157,1,21,4.81
103,339260,1,21,2.85
103,339364,1,21,0.76
